Hero,Hero Name,Role,Element,Hero Skill Names,Hero Skill Descriptions,Hero Skill Turns,Soul Burn Count,Soul Burn Descriptions
c1094,Dizzy,mage,ice,"[""I Used This to Catch Fish"", ""Gamma Ray"", ""Emotional Gamma Ray""]","[""Attacks [b]all enemies[/b] with the power of magic, with a 25% chance each to [color=red]stun[/color] for 1 turn. Damage dealt increases on debuffed enemies."", ""Attacks [b]all enemies[/b] with a powerful ray, [b]extending the duration of debuffs[/b] by 1 turn, except for those which prevent the enemy from moving, before [b]decreasing Combat Readiness[/b] by 50%."", ""Unleashes a giant explosion to attack [b]all enemies[/b]. The attack misses, but inflicts [color=red]decreased Speed[/color], [color=red]Attack[/color], and [color=red]Hit Chance[/color] for 2 turns regardless.""]","['', '3 turns', '4 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""Grants an [b]extra turn[/b].""]"
c1111,Eda,mage,ice,"[""Icy Impact"", ""Cold Snap"", ""Absolute Zero""]","[""Attacks the enemy with shards of ice, with a [color=orange]75%[/color] chance to [color=red]decrease Defense[/color] for 1 turn."", ""Attacks [b]all enemies[/b] with an explosion of ice, [b]dispelling two buff[/b] before [b]decreasing Combat Readiness[/b] by a random amount between 15% and 40%. Grants the caster [color=#1080e5]skill nullifier[/color] once."", ""Releases energy to attack [b]all enemies[/b], with a [color=orange]85%[/color] chance to [color=red]stun[/color] for 1 turn, and [b]increases Combat Readiness[/b] of all allies by 20%. When an ally uses a non-attack skill and this skill is available according to cooldown count, [b]increases Combat Readiness[/b] of the caster by 20%.""]","['', '3 turns', '4 turns']","['', 'Soulburn (20 souls)', '']","["""", ""Grants an [b]extra turn[/b]."", """"]"
c5050,Fairytale Tenebria,mage,ice,"[""One Pair"", ""Wild Card"", ""Tea Party""]","[""Attacks the enemy with a mystical power, with a [color=orange]75%[/color] chance each to inflict [color=red]redirected provoke[/color] for 1 turn."", ""When an ally is attacked by an enemy inflicted with [color=red]provoke[/color] or [color=red]redirected provoke[/color], activates Shuffle. Shuffle can only be activated once per turn. [b]Shuffle[/b] : Attacks [b]all enemies[/b] and inflicts a [color=red]random debuff[/color] for 1 turn. A successful attack against a target inflicted with provoke or redirected provoke inflicts [b]additional damage[/b]. Additional damage increases proportional to the [b]target's max Health[/b]."", ""Lures [b]all enemies[/b] in with a tea party and attacks, [b]dispelling one buff[/b], making them [color=red]unable to be buffed[/color] for 2 turns, and inflicting [color=red]redirected provoke[/color] for 1 turn.""]","['', '1 turns', '4 turns']","['Soulburn (20 souls)', '', '']","[""Grants an [b]extra turn[/b]."", """", """"]"
c1147,Fumyr,mage,ice,"[""Substratal Experimentation"", ""Elemental Inquiry"", ""Sensory Dissection""]","[""Attacks the enemy with an elemental reaction, with a 50% chance to [color=red]decrease Attack[/color] for 2 turns."", ""At the start of Fire and Earth elemental allies' turns and at the start of the caster's turn, grants [color=#1080e5]elemental wisdom[/color] to the caster. After attacking on the caster's turn, when elemental wisdom is stacked to 3, consumes all to activate Fruit of Knowledge. Can only be activated once every 4 turns. [b]Fruit of Knowledge[/b] : [b]Dispels all buffs[/b] from all enemies, and has a [color=orange]100%[/color] chance to put them to [color=red]sleep[/color] for 2 turns, before a [color=orange]85%[/color] chance to [color=red]decrease Defense[/color] for 2 turns."", ""Fabricates an illusion, [b]decreasing buff durations[/b] of the enemy by 1 turn and attacks, [color=red]decreasing Speed[/color] for 2 turns before [b]decreasing Combat Readiness[/b] by 30%. A successful attack deals 3,000 [b]fixed damage[/b] when the caster is granted [color=#1080e5]elemental wisdom[/color]. Fixed damage increases proportional to the number of elemental wisdom stacks, up to a maximum of 9,000.""]","['', '4 turns', '4 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""[b]Ignores Effect Resistance[/b].""]"
c1082,Luluca,mage,ice,"[""Wild Wave"", ""Rekos's Blessing"", ""Wave of Vengeance""]","[""Attacks with intense elemental force, with a 50% chance to [color=red]decrease Defense[/color] for 2 turns. Damage dealt increases proportional to the amount of the [b]enemy's lost Health[/b]."", ""With the blessing of the stars, grants [color=#1080e5]increased Defense[/color] and [color=#1080e5]barrier[/color] to all allies for 2 turns. Barrier strength increases proportional to the [b]caster's Attack[/b]."", ""Attacks [b]all enemies[/b] with the power of ruin, with a [color=orange]100%[/color] chance to [color=red]decrease Defense[/color] for 2 turns, before [b]increasing the caster's Attack[/b]. Increased Attack can stack up to 3 times.""]","['', '3 turns', '4 turns']","['', 'Soulburn (20 souls)', '']","["""", ""[b]All skill cooldowns decreased[/b] by 2 turns."", """"]"
c1083,Zeno,mage,ice,"[""Black Thorn"", ""Star's Armor"", ""Ancient Beast""]","[""Attacks with thorns, with a [color=orange]35%[/color] chance to [color=red]stun[/color] for 1 turn. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""When the enemy uses a non-attack skill, [b]increases Defense[/b] of the caster and damage dealt by Ancient Beast by [color=orange]10%[/color], and [b]increases Effectiveness[/b] by 5%. Can stack up to 8 times."", ""Summons an ancient beast to attack [b]all enemies[/b], with a [color=orange]80%[/color] chance to [color=red]silence[/color] for 1 turn, and inflicts [color=red]bleeding[/color] for 2 turns. Damage dealt increases proportional to the [b]caster's max Health[/b].""]","['', '', '4 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""Grants an [b]extra turn[/b].""]"
c1143,Amid,manauser,ice,"[""Zephyr"", ""Forest Blessing"", ""Touch of Hope""]","[""Attacks the enemy with a fan, and [b]increases Combat Readiness[/b] of the caster by [color=orange]15%[/color]."", ""Grants [color=#1080e5]skill nullifier[/color] once to all allies and [b]increases Combat Readiness[/b] by [color=orange]25%[/color]. Grants an [b]extra turn[/b] to the caster."", ""With Elven magic, [b]dispels two debuffs[/b] from an ally except for the caster and grants [color=#1080e5]Swift Attack[/color]. [color=#1080e5]Increases Attack[/color] of the target for 2 turns.""]","['', '4 turns', '4 turns']","['Soulburn (10 souls)', '', '']","[""Combat Readiness increase effect will be applied to all allies."", """", """"]"
c1160,Birgitta,manauser,ice,"[""Baseless Rumor"", ""Subterfuge"", ""Nothing Personal, Kid""]","[""Attacks the enemy and [b]decreases Combat Readiness[/b] by [color=orange]15%[/color]. When the target is inflicted with [color=red]block[/color], doubles the amount of Combat Readiness decrease."", ""[b]Dispels two debuffs[/b] from an ally and [b]increases Combat Readiness[/b] by [color=orange]50%[/color]. Grants an [b]extra turn[/b]."", ""[b]Dispels all buffs[/b] from the enemy, before a [color=orange]100%[/color] chance each to inflict [color=red]bind[/color] and [color=red]block[/color] for 2 turns.""]","['', '3 turns', '5 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""[b]Ignores Effect Resistance[/b].""]"
c1076,Diene,manauser,ice,"[""Light of Judgment"", ""Blessings of the Goddess"", ""Saint's Prayer""]","[""Attacks the enemy with a ray of brilliant light, [b]increasing the caster's Combat Readiness[/b] by [color=orange]15%[/color]. Effect doubles when caster is buffed."", ""With the Blessings of the Goddess, [b]dispels two debuffs[/b] from all allies and grants [color=#1080e5]barrier[/color] for 2 turns. Barrier strength increases proportional to the [b]target's max Health[/b]."", ""A miracle of the Goddess manifests, [color=#1080e5]increasing Attack[/color] and [color=#1080e5]Critical Hit Resistance[/color] of all allies for 3 turns, before [b]increasing the caster's Combat Readiness[/b] by 50%.""]","['', '3 turns', '4 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""[b]All skill cooldowns decreased[/b] by 2 turns.""]"
c1091,Elena,manauser,ice,"[""Starlight's Will"", ""Guardian's Authority"", ""Eternally Shining Comet""]","[""Attacks with the power of the stars, [b]dispelling one debuff[/b] each from two allies."", ""When an ally suffers an attack that targets all enemies, decreases the [b]damage received[/b] by [color=orange]20%[/color] and activates Consecrated Ground. When more than one damage reduction effect is granted, only the strongest effect is applied. Consecrated Ground can be activated once every 2 turns. [b]Consecrated Ground[/b] : [b]Recovers the Health[/b] of all allies before [b]increasing Combat Readiness[/b] of the caster by 20%. Amount recovered increases proportional to the caster's max Health."", ""Attacks [b]all enemies[/b] with a meteor shower, and [b]dispels one debuff[/b] from all allies before granting [color=#1080e5]invincibility[/color] for 1 turn and [color=#1080e5]increased Effect Resistance[/color] for 2 turns to all allies.""]","['', '2 turns', '5 turns']","['Soulburn (20 souls)', '', '']","[""[b]Dispels all debuffs[/b] from all allies."", """", """"]"
c1116,Emilia,manauser,ice,"[""Huma"", ""Spirit's Blessing"", ""Divine Protection of the Great Spirit""]","[""Attacks the enemy with ice, before [b]recovering Health[/b] of the ally with the lowest Health. Amount recovered increases proportional to the [b]caster's max Health[/b]."", ""Grants a blessing to an ally except for the caster, [b]dispelling two debuffs[/b] and [color=#1080e5]increasing Attack[/color] for 2 turns before [b]increasing Combat Readiness[/b] by [color=orange]50%[/color]. [b]Increases Combat Readiness[/b] of the caster by 25%."", ""Uses spiritual arts to [b]dispel two debuffs[/b] from all allies, before [b]recovering Health[/b] and granting a [color=#1080e5]barrier[/color] for 2 turns. Amount recovered and barrier strength increase proportional to the [b]caster's max Health[/b].""]","['', '2 turns', '4 turns']","['', 'Soulburn (10 souls)', '']","["""", ""[b]Recovers Health[/b] of the target. Amount recovered increases proportional to the [b]caster's max Health[/b]."", """"]"
c1170,Fenne,manauser,ice,"[""Intense Welcome"", ""Love=Pain"", ""Love Bite""]","[""After consuming 15% of the caster's current Health and inflicting [b]injuries[/b] proportional to the consumption on the caster, attacks the enemy, [b]recovering Health of all allies[/b]. When it is the caster's turn, if the caster is [color=#1080e5]enraged[/color], [b]activates Embrace[/b] as an extra attack. Amount recovered increases proportional to the [b]caster's max Health and Attack[/b]. [b]Embrace[/b] : Attacks the enemy, and grants [color=#1080e5]immunity[/color] to the caster for 1 turn. Damage dealt increases proportional to the caster's [b]injuries[/b]."", ""[b]Increases Critical Hit Chance[/b] by 30%. Attack and Speed increase proportional to the caster's [b]injuries[/b] ratio. Upon receiving lethal damage, [b]revives[/b] with [color=orange]50%[/color] Health and grants a [color=#1080e5]barrier[/color] to the caster for 2 turns. Barrier strength increases proportional to the [b]caster's Attack[/b]. Can only be activated once per battle."", ""After consuming 15% of the caster's current Health and inflicting [b]injuries[/b] proportional to the consumption on the caster, attacks the enemy, [b]absorbing some of the damage dealt[/b] as Health. The caster becomes [color=#1080e5]enraged[/color] for 2 turns. Damage dealt increases proportional to the caster's [b]injuries[/b] inflicted.""]","['', '', '3 turns']","['Soulburn (10 souls)', '', '']","[""Increases the amount recovered."", """", """"]"
c1163,Frida,manauser,ice,"[""Tube Throw"", ""Invitation to a Fantasy"", ""Oasis Land, Grand Opening!""]","[""Attacks the enemy by throwing a tube, and [b]increases Combat Readiness[/b] of the ally with the highest Combat Readiness except for the caster by [color=orange]15%[/color]."", ""At the start of the first battle, grants [color=#1080e5]Oasis All-Ride Pass[/color] to the caster and the foremost ally. When an ally uses a Soulburn, [b]increases Combat Readiness[/b] of the caster by [color=orange]20%[/color]."", ""[b]Dispels one debuff[/b] from all allies before [b]increasing Combat Readiness[/b] by [color=orange]25%[/color] and [color=#1080e5]increasing Attack[/color] for 2 turns.""]","['', '', '4 turns']","['Soulburn (20 souls)', '', '']","[""Uses Aqua Ride instead of Tube Throw. [b]Aqua Ride[/b] : [b]Dispels one debuff[/b] from all allies and grants a [color=#1080e5]barrier[/color] for 2 turns. Barrier strength increases proportional to the [b]caster's max Health[/b]."", """", """"]"
c1100,Alencia,warrior,earth,"[""Eradicate"", ""Noble Blood"", ""Genesis""]","[""Batters the enemy by battering them, with a [color=orange]75%[/color] chance to [color=red]decrease Defense[/color] for 1 turn. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""[b]Increases Critical Hit Chance[/b] by 20%. At the start of the turn, has a [color=orange]100%[/color] chance to grant [color=#1080e5]Mind's Eye[/color] to the caster for 1 turn. After using Eradicate, when the caster is granted [color=#1080e5]Mind's Eye[/color], activates Trample as an [b]extra skill[/b]. [b]Trample[/b] : Attacks the enemy by striking from above, and [b]increases Combat Readiness[/b] of the caster by 15%. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""Attacks [b]all enemies[/b] with Dragon's Might, [b]dispelling all buffs[/b] and granting [color=#1080e5]increased Defense[/color] to all allies for 2 turns. [b]Increases Combat Readiness[/b] of the caster by 50%. Damage dealt increases proportional to the [b]caster's max Health[/b].""]","['', '', '4 turns']","['Soulburn (10 souls)', '', '']","[""Increases effect chance to 100% and [b]ignores Effect Resistance[/b]."", """", """"]"
c1124,Arunka,warrior,earth,"[""Dagger Throw"", ""Wild Instinct"", ""A Thrashing In The Prairie""]","[""Throws daggers at the enemy, with a 50% chance each to inflict two [color=red]bleeding[/color] effects for 2 turns. A successful attack has a 50% chance to activate Expose as an [b]extra attack[/b]. Expose can only be activated once per turn, during the caster's turn. [b]Expose[/b] : Attacks the enemy, and [b]recovers Health[/b] of the caster. Amount recovered increases proportional to the [b]caster's Attack[/b]."", ""[b]Attack increases[/b] by 30%. When attacking, [b]cannot trigger a critical hit[/b]. At the end of an enemy's turn, when the target is granted a barrier, [b]increases Combat Readiness[/b] of the caster by [color=orange]10%[/color]."", ""Runs up to the enemy to attack. When the enemy is defeated, inflicts [b]extinction[/b] and [b]resets cooldown[/b] of this skill. [b]Penetrates[/b] the target's Defense by 70% and when the target is granted a barrier, increases damage dealt.""]","['', '', '4 turns']","['Soulburn (10 souls)', '', '']","[""Has a 100% chance to activate Expose."", """", """"]"
c1161,Immortal Wukong,warrior,earth,"[""Swing"", ""The Immortal One"", ""Heavenly Fighter's Strike""]","[""Attacks the enemy with Ruyi Bang, and grants a [color=#1080e5]barrier[/color] to the caster for 1 turn. Barrier strength increases proportional to the [b]caster's Attack[/b]. When used on the caster's turn, attacks [b]all enemies[/b]. The changed attack does not trigger a Dual Attack."", ""[b]Increases Critical Hit Resistance[/b] and [b]Penetration Resistance[/b] by [color=orange]50%[/color]. When attacked, if the caster suffers a non-critical hit, increases Attack and Speed by 20%. Can stack up to 3 times."", ""[color=#1080e5]Increases Attack[/color] of the caster for 2 turns, before attacking the enemy and [color=red]stunning[/color] for 1 turn. When the caster's Attack is greater than the target's Attack, damage dealt increases [b]proportional to the difference[/b], up to a maximum of 70%. [b]Unaffected by elemental disadvantage[/b].""]","['', '', '3 turns']","['Soulburn (10 souls)', '', '']","[""Increases damage dealt."", """", """"]"
c1159,Laia,warrior,earth,"[""Sing with Me!"", ""Sweet Cheers"", ""The Spirit of Rock""]","[""Attacks the enemy with a sweet melody, and [b]increases Combat Readiness[/b] of the caster by [color=orange]15%[/color]. When The Spirit of Rock is unavailable due to cooldown count, triggers a [b]Dual Attack[/b] from a random ally. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""[b]Dispels all debuffs[/b] from all allies and [b]increases Combat Readiness[/b] by [color=orange]25%[/color], before [b]decreasing skill cooldowns[/b] of all allies except for the caster by 1 turn."", ""Attacks the enemy with a bass. When the enemy is defeated, [b]recovers Health[/b] of the caster and grants an [b]extra turn[/b]. [b]Penetrates[/b] the target's Defense, and [b]cannot trigger a critical hit[/b]. Amount recovered and damage dealt increase proportional to the [b]caster's max Health[/b]. Begins the first battle with full skill cooldown count, and when this skill is unavailable due to cooldown count, at the start of every turn, [b]decreases all skill cooldowns[/b] by 1 turn.""]","['', '7 turns', '6 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Increases damage dealt.""]"
c1095,Lilibet,warrior,earth,"[""Slice-Slice"", ""Snip-Snip"", ""Soul Cutter""]","[""Strikes and slices the enemy, with a [color=orange]50%[/color] chance to make them [color=red]unable to be buffed[/color] for 2 turns."", ""Brutally cuts the enemy, with a [color=orange]55%[/color] chance each to inflict three [color=red]bleeding[/color] effects for 2 turns, before [b]increasing Combat Readiness[/b] of the caster by 50%. When the [b]target is bleeding[/b] after the attack, [b]increases Combat Readiness[/b] of the caster by an additional 50%."", ""Slashes the enemy with Cho & Mal, before granting the caster [color=#1080e5]skill nullifier[/color] once. When the enemy is defeated, inflicts [b]extinction[/b] and [b]decreases the caster's skill cooldown[/b] by 1 turn. [b]Hit Chance is increased[/b] by 20% when using this skill.""]","['', '3 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Increases damage dealt.""]"
c1044,Mui,warrior,earth,"[""Lash"", ""Punishment"", ""Grand Finale""]","[""Attacks with a whip, with a [color=orange]75%[/color] chance to inflict [color=red]target[/color] for 2 turns."", ""Calls upon a tamed monster to attack [b]all enemies[/b], with a [color=orange]50%[/color] chance each to inflict two [color=red]bleeding[/color] effects for 2 turns, and a [color=orange]80%[/color] chance to [color=red]stun[/color] for 1 turn."", ""Drives monsters forward to attack [b]all enemies[/b], [b]dispelling two buffs[/b]. Grants [color=#1080e5]increased Attack[/color] to all allies for 3 turns, and [b]increases Combat Readiness[/b] of the caster by 25% per critical hit.""]","['', '4 turns', '5 turns']","['', 'Soulburn (20 souls)', '']","["""", ""[b]All skill cooldowns decreased[/b] by 2 turns."", """"]"
c1121,Rimuru,warrior,earth,"[""Okay, Shall I Get Started?"", ""Analyze and Assess"", ""Devour It, Black Flame!""]","[""Cuts the enemy to attack, granting a [color=#1080e5]random buff[/color] to the caster for 1 turn."", ""After attacking with a non-basic skill, [b]copies two buffs[/b] when the target is buffed, [b]regardless of whether the attack hits[/b] and grants their effects to all allies. This effect is not applied to undispellable buffs. When an ally is attacked by a buffed enemy, activates Be Ready! against the attacker. Be Ready! can only be activated once every 3 turns. [b]Be Ready![/b] : Quickly approaches the enemy and attacks, [b]increasing Combat Readiness[/b] of the caster by 30%."", ""Attacks the enemy with black flame, and a successful attack will inflict 5,000 [b]additional fixed damage[/b] to the target. Fixed damage increases proportional to the number of buffs granted to all allies, up to a maximum of 10,000 fixed damage. When the target is buffed, [color=red]decreases Defense[/color] of all enemies for 2 turns. [b]Unaffected by elemental disadvantage[/b].""]","['', '3 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""[b]Skill cooldown decreased[/b] by 2 turns.""]"
c1016,Yufine,warrior,earth,"[""Double Slash"", ""Dragon's Roar"", ""Dragon Charge""]","[""Attacks by swinging their weapon, with a [color=orange]50%[/color] chance to [color=red]decrease Defense[/color] for 2 turns."", ""Attacks [b]all enemies[/b] with a dragon howl, [b]dispelling one buff[/b], before a [color=orange]70%[/color] chance to [color=red]decrease Defense[/color] for 2 turns and a [color=orange]85%[/color] chance to [color=red]silence[/color] for 1 turn."", ""After granting [color=#1080e5]increased Attack[/color] to the caster for 2 turns, attacks the enemy with a massive blade. When the enemy is defeated, grants an [b]extra turn[/b]. When the target has a debuff, damage dealt increases. When this skill is available according to cooldown count, after an ally except for the caster uses a skill, if an enemy has a debuff, [b]increases Combat Readiness[/b] of the caster by 20%.""]","['', '4 turns', '4 turns']","['', 'Soulburn (20 souls)', '']","["""", ""[b]Ignores Effect Resistance[/b]."", """"]"
c1119,Zahhak,warrior,earth,"[""Vulnerability Exposed"", ""Elaborate Plan"", ""Execute""]","[""Attacks the enemy with a longsword. [b]Increases Critical Hit Chance[/b] by 50% when attacking. Damage dealt increases when the [b]target is buffed[/b]."", ""[b]Dispels two debuffs[/b] from an ally and the caster, before [b]increasing Combat Readiness[/b] of the ally by [color=orange]15%[/color]. Grants an [b]extra turn[/b] to the caster."", ""Attacks the enemy, inflicting [b]injuries[/b] before granting the caster [color=#1080e5]invincibility[/color] for 1 turn. [b]Increases Hit Chance[/b] and [b]Critical Hit Chance[/b] by 50% when attacking. The severity of injuries increases proportional to damage dealt. Injuries decrease max Health of the target by [b]up to 35%[/b] every time this skill is used.""]","['', '4 turns', '4 turns']","['Soulburn (10 souls)', '', '']","[""Increases damage dealt."", """", """"]"
c1156,Albedo,knight,earth,"[""No Need for Words"", ""Aegis Unfold"", ""Rage of Nazarick""]","[""Attacks the enemy with a bardiche, before [b]increasing Combat Readiness[/b] of the caster by [color=orange]20%[/color]. A successful attack deals [b]additional damage[/b] proportional to the [b]caster's max Health[/b]. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""When an ally suffers a critical hit, [b]decreases damage suffered[/b] by [color=orange]20%[/color]. When an ally except for the caster suffers a critical hit, [b]counterattacks[/b] with Let's Go, Bicorn!. Let's Go, Bicorn! can only be activated once every 2 turns. When more than one damage reduction effect is granted, only the strongest effect is applied. [b]Let's Go, Bicorn![/b] : Attacks all enemies, [b]dispelling one buff[/b], before [color=#1080e5]increasing Speed[/color] of the caster for 2 turns. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""Fiercely attacks the wicked enemy, with a [color=orange]100%[/color] chance each to [b]dispel all buffs[/b] from the target, make them [color=red]unable to be buffed[/color], and [color=red]decrease Defense[/color] for 2 turns. Damage dealt increases proportional to the [b]caster's max Health[/b].""]","['', '2 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Skill cooldown is decreased by 2 turns.""]"
c1027,Charles,knight,earth,"[""Slash"", ""Smash"", ""Faithful Strike""]","[""Attacks with a giant sword, with a [color=orange]60%[/color] chance to [color=red]decrease Attack[/color] for 1 turn. After using this skill, has a 25% chance to activate Smash as an [b]extra attack[/b]. Chance to activate Smash is doubled when the enemy is buffed."", ""Attacks the enemy repeatedly with a giant sword, with a [color=orange]100%[/color] chance to [b]dispel all buffs[/b]. Damage dealt increases [b]proportional[/b] to [b]number of buffs[/b] granted to the caster."", ""Attacks [b]all enemies[/b] with a swordstorm, [color=#1080e5]increases Attack[/color] of all allies for 2 turns. Additionally [color=#1080e5]increases Defense[/color] of the caster for 2 turns. When there are three or fewer enemies, damage dealt increases as [b]enemies become fewer[/b].""]","['', '3 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Extends duration of buffs granted by this skill by 1 turn.""]"
c1104,Mort,knight,earth,"[""Extermination"", ""Absolute Dignity"", ""Advent: Mortelix""]","[""Attacks the enemy by piercing them, with a [color=orange]50%[/color] chance to [color=red]decrease Defense[/color] for 2 turns. [b]Ignores Effect Resistance[/b] of any targets with Max Health lower than the caster's Max Health. Damage dealt increases proportional to the caster's max Health."", ""Immune to [b]debuffs which prevent movement[/b]. All Heroes except for the caster cannot counterattack. When an ally is attacked, has a 20% chance to [b]counterattack[/b] and when counterattacking, activates Sacred Blessing. Sacred Blessing can be activated once every 3 turns. [b]Sacred Blessing[/b] : Grants a [b]barrier[/b] to all allies for 2 turns, and [color=#1080e5]increases Speed[/color] of the caster for 2 turns. Barrier strength increases proportional to the [b]caster's max Health[/b]."", ""Descends and attacks [b]all enemies[/b], inflicting [color=red]fear[/color] for 2 turns, before [b]recovering Health[/b] of the caster. [b]Penetrates[/b] Defense of the enemy with the highest Max Health by 70%, and [b]ignores Effect Resistance[/b] of any targets with Max Health lower than the caster's Max Health. Damage dealt and amount recovered increase proportional to the [b]caster's max Health[/b].""]","['', '2 turns', '4 turns']","['Soulburn (10 souls)', '', '']","[""Increases effect chance to 100%."", """", """"]"
c1106,Senya,knight,earth,"[""Spear of Vengeance"", ""Indomitable Spirit"", ""Dragon Slayer's Strike""]","[""Attacks the enemy with a spear, with a [color=orange]75%[/color] chance to [color=red]provoke[/color] for 1 turn. When it is not the caster's turn, effect chance increases by 25%."", ""[b]Attack increases[/b] by 30% and [b]Critical Hit Resistance increases[/b] by [color=orange]50%[/color]. When attacking, [b]cannot trigger a critical hit[/b]. When attacked, if the caster suffers a non-critical hit, [b]deals damage to the attacker[/b] proportional to the [b]caster's Attack[/b] before activating Grace of the Battlefield. Grace of the Battlefield can only be activated once every 2 turns. [b]Grace of the Battlefield[/b] : Grants a [color=#1080e5]barrier[/color] to all allies for 2 turns, and [color=#1080e5]increases Speed[/color] of the caster for 2 turns. Barrier strength Increases proportional to the [b]caster's Attack[/b]."", ""Attacks [b]all enemies[/b] by striking downwards with a spear and has a [color=orange]100%[/color] chance to [color=red]decrease Hit Chance[/color] for 2 turns and a [color=orange]85%[/color] chance to [color=red]provoke[/color] for 1 turn. Adopts a [color=#1080e5]counterattacking[/color] stance for 3 turns.""]","['', '2 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""[b]Skill cooldown is decreased[/b] by 2 turns.""]"
c1131,Yulha,knight,earth,"[""Cruel Touch"", ""Malicious Smile"", ""Symphony of Agony""]","[""Attacks the enemy. with a [color=orange]100%[/color] chance to inflict [color=red]redirected provoke[/color] for 1 turn. Damage dealt increases proportional to the [b]caster's max Health[/b].Attacks the enemy, with a [color=orange]100%[/color] chance to inflict [color=red]redirected provoke[/color] for 1 turn. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""When attacked, [b]reflects[/b] 40% of the damage suffered to the attacker. Reflected damage cannot be higher than the caster's max Health. After being attacked, when Health is 30% or less, [b]dispels all debuffs[/b] from the caster and [b]activates Murderous Intent[/b]. The effect after being attacked can only be activated once every 5 turns. [b]Murderous Intent[/b] : Grants a [color=#1080e5]barrier[/color] to the caster for 3 turns and [b]increases Combat Readiness[/b] by [color=orange]25%[/color]. Barrier strength increases proportional to the [b]caster's max Health[/b]."", ""Attacks the enemy by unraveling Sphere of Sadism and when the enemy is defeated, [b]recovers[/b] the caster's Health. When the target is not an Elite or Boss monster, [b]damage sharing effects are ignored[/b]. [b]Penetrates[/b] the target's Defense, but [b]cannot trigger a critical hit[/b]. Damage dealt increases proportional to the [b]caster's lost Health[/b], and amount recovered increases proportional to the [b]caster's max Health[/b].""]","['', '5 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Increases damage dealt.""]"
c1093,Baiken,assassin,earth,"[""Tatami Gaeshi"", ""Tsurane Sanzu-watashi"", ""Garyo Tensei""]","[""Attacks the enemy repeatedly, with a [color=orange]70%[/color] chance each to inflict two [color=red]bleeding effects[/color] for 2 turns. A critical hit will [b]reduce the caster's skill cooldowns[/b] by 1 turn."", ""Attacks the enemy with expert swordsmanship, with a [color=orange]80%[/color] chance each of inflicting three [color=red]bleeding[/color] effects for 2 turns. One bleeding effect [b]ignores Effect Resistance[/b]. A critical hit will grant an [b]extra turn[/b]."", ""Delivers a deadly blow, [b]detonating[/b] any [color=red]bleeding[/color] effects inflicted on the enemy at the end of the turn. A critical hit [b]increases the Combat Readiness[/b] of all allies by [color=orange]25%[/color].""]","['', '4 turns', '7 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Increases damage dealt.""]"
c5046,Blooming Lidica,assassin,earth,"[""Twirling Thorns"", ""Seductive Scent"", ""Fruit of Ecstasy""]","[""Attacks the enemy with a sword, with a [color=orange]40%[/color] chance to [color=red]stun[/color] for 1 turn. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""[b]Increases Speed[/b] proportional to the [b]number of debuffs[/b] inflicted on all enemies, up to a maximum of 70%. After an ally except for the caster attacks, when the target has a debuff, activates Thorned Vine. Thorned Vine can only be activated once every 3 turns. [b]Thorned Vine[/b] : Attacks [b]all enemies[/b], [b]decreasing buff durations[/b] by 1 turn and making them [color=red]unable to be buffed[/color] for 2 turns. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""Attacks the enemy with a flower, and grants [color=#1080e5]skill nullifier[/color] once to all allies. [b]Penetrates[/b] the target's Defense by 50%. When the caster's Speed is greater than the target's Speed, [b]penetrates[/b] the target's Defense, with the penetration rate increasing proportional to the difference, up to a maximum of 100%. Damage dealt increases proportional to the [b]caster's max Health[/b]. This attack [b]cannot trigger a critical hit[/b].""]","['', '3 turns', '4 turns']","['Soulburn (10 souls)', '', '']","[""Increases effect chance to 100%."", """", """"]"
